run_id,case_id,conn_id,target_mode,concurrency,payload_bytes,ok,error_stage,error,rep,tcp_ms,socks_ms,ttfb_ms,total_ms,bytes_up,bytes_down
2026-07-05_local-smoke_v1,ipv4-c5-p1024-r1,0,ipv4,5,1024,1,,,0,0.602666987106204,2.454083994962275,2.7258339105173945,2.7267499826848507,4,1024
2026-07-05_local-smoke_v1,ipv4-c5-p1024-r1,1,ipv4,5,1024,1,,,0,0.46195799950510263,2.30637495405972,2.6248330250382423,2.6255829725414515,4,1024
2026-07-05_local-smoke_v1,ipv4-c5-p1024-r1,2,ipv4,5,1024,1,,,0,0.5515840603038669,2.269500051625073,2.6179590495303273,2.6184170274063945,4,1024
2026-07-05_local-smoke_v1,ipv4-c5-p1024-r1,3,ipv4,5,1024,1,,,0,0.5254580173641443,2.2292910143733025,2.6623329613357782,2.662832965143025,4,1024
2026-07-05_local-smoke_v1,ipv4-c5-p1024-r1,4,ipv4,5,1024,1,,,0,0.4988329019397497,2.2002499317750335,2.642165985889733,2.6424999814480543,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,0,ipv4,20,1024,1,,,0,1.2937079882249236,4.208042053505778,5.384708056226373,5.385458003729582,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,1,ipv4,20,1024,1,,,0,1.2308340519666672,4.160459036938846,5.359292030334473,5.359417060390115,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,2,ipv4,20,1024,1,,,0,1.1911250185221434,4.1455000173300505,5.3695839596912265,5.370000028051436,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,3,ipv4,20,1024,1,,,0,1.0567919816821814,4.00883296970278,5.235291901044548,5.23541693110019,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,4,ipv4,20,1024,1,,,0,1.0326249757781625,3.994583967141807,5.2074589766561985,5.207541980780661,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,5,ipv4,20,1024,1,,,0,0.9925420163199306,3.9795839693397284,5.164208938367665,5.16437494661659,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,6,ipv4,20,1024,1,,,0,0.959209050051868,3.9499590639024973,5.287459003739059,5.287584033794701,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,7,ipv4,20,1024,1,,,0,0.9227079572156072,3.9252080023288727,5.3385409992188215,5.338666029274464,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,8,ipv4,20,1024,1,,,0,0.896165962330997,3.910415922291577,5.3232909413054585,5.323415971361101,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,9,ipv4,20,1024,1,,,0,0.8600000292062759,3.8779170718044043,5.305167054757476,5.3052500588819385,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,10,ipv4,20,1024,1,,,0,0.8946250891312957,3.8770410465076566,5.30462502501905,5.304791033267975,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,11,ipv4,20,1024,1,,,0,0.9110830724239349,3.8954580668359995,5.447750096209347,5.44783310033381,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,12,ipv4,20,1024,1,,,0,0.8817090420052409,4.024917026981711,5.445874994620681,5.446208990179002,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,13,ipv4,20,1024,1,,,0,0.8566660108044744,4.0090830298140645,5.45245804823935,5.452582961879671,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,14,ipv4,20,1024,1,,,0,0.9076660498976707,4.007916082628071,5.494832992553711,5.495125078596175,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,15,ipv4,20,1024,1,,,0,0.9215000318363309,3.973540966399014,5.462665925733745,5.462790955789387,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,16,ipv4,20,1024,1,,,0,0.8902500849217176,3.954916028305888,5.4265831131488085,5.426666000857949,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,17,ipv4,20,1024,1,,,0,0.8649160154163837,3.930458100512624,5.4551661014556885,5.455291015096009,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,18,ipv4,20,1024,1,,,0,0.8392499294131994,4.016083898022771,5.428999895229936,5.429083947092295,4,1024
2026-07-05_local-smoke_v1,ipv4-c20-p1024-r1,19,ipv4,20,1024,1,,,0,0.7723330054432154,3.9791669696569443,5.394125008024275,5.394167033955455,4,1024
2026-07-05_local-smoke_v1,ipv4-c5-p8192-r1,0,ipv4,5,8192,1,,,0,0.303708016872406,1.1580829741433263,1.5065829502418637,1.5068750362843275,4,8192
2026-07-05_local-smoke_v1,ipv4-c5-p8192-r1,1,ipv4,5,8192,1,,,0,0.26054203044623137,1.1439170921221375,1.5232920413836837,1.5236249892041087,4,8192
2026-07-05_local-smoke_v1,ipv4-c5-p8192-r1,2,ipv4,5,8192,1,,,0,0.26245799381285906,1.1353329755365849,1.5405829763039947,1.5406669117510319,4,8192
2026-07-05_local-smoke_v1,ipv4-c5-p8192-r1,3,ipv4,5,8192,1,,,0,0.25983306113630533,1.1243750341236591,1.5723330434411764,1.5724579570814967,4,8192
2026-07-05_local-smoke_v1,ipv4-c5-p8192-r1,4,ipv4,5,8192,1,,,0,0.2840000670403242,1.1259170714765787,1.567667000927031,1.5677500050514936,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,0,ipv4,20,8192,1,,,0,1.0973339667543769,2.8949170373380184,3.6415840731933713,3.642000025138259,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,1,ipv4,20,8192,1,,,0,1.0539579670876265,2.8538749320432544,3.5969580058008432,3.5970829194411635,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,2,ipv4,20,8192,1,,,0,1.0201670229434967,2.847125055268407,3.6070829955860972,3.6072919610887766,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,3,ipv4,20,8192,1,,,0,0.9907919447869062,2.8327920008450747,3.6289169220253825,3.6292088916525245,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,4,ipv4,20,8192,1,,,0,0.9652499575167894,2.9038749635219574,3.6497500259429216,3.6499169655144215,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,5,ipv4,20,8192,1,,,0,0.9414170635864139,2.9349999967962503,3.6482500145211816,3.648333018645644,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,6,ipv4,20,8192,1,,,0,0.915084034204483,2.9410000424832106,3.682709066197276,3.682916983962059,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,7,ipv4,20,8192,1,,,0,0.883250031620264,2.9118750244379044,3.662042086943984,3.6621670005843043,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,8,ipv4,20,8192,1,,,0,0.8537080138921738,2.884333021938801,3.6471670027822256,3.6472920328378677,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,9,ipv4,20,8192,1,,,0,0.8244169875979424,2.856916980817914,3.66395793389529,3.664041985757649,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,10,ipv4,20,8192,1,,,0,0.7971250452101231,2.847583033144474,3.655166015960276,3.655250067822635,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,11,ipv4,20,8192,1,,,0,0.7730420911684632,2.830333076417446,3.6418751114979386,3.642000025138259,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,12,ipv4,20,8192,1,,,0,0.8377499179914594,2.80504091642797,3.630290972068906,3.630374907515943,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,13,ipv4,20,8192,1,,,0,0.8724159561097622,2.781582996249199,3.6140000447630882,3.6141249584034085,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,14,ipv4,20,8192,1,,,0,0.8469580207020044,2.7565000345930457,3.597708069719374,3.5977920051664114,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,15,ipv4,20,8192,1,,,0,0.8212500251829624,2.731082960963249,3.592332941479981,3.5924159456044436,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,16,ipv4,20,8192,1,,,0,0.7932080188766122,2.731250016950071,3.5885419929400086,3.588708001188934,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,17,ipv4,20,8192,1,,,0,0.7634169887751341,2.705042017623782,3.5850420827046037,3.585166996344924,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,18,ipv4,20,8192,1,,,0,0.7399580208584666,2.684582956135273,3.9644159842282534,3.9646660443395376,4,8192
2026-07-05_local-smoke_v1,ipv4-c20-p8192-r1,19,ipv4,20,8192,1,,,0,0.7911249995231628,2.6849170681089163,3.974667051807046,3.9748339913785458,4,8192
2026-07-05_local-smoke_v1,fqdn-c5-p1024-r1,0,fqdn,5,1024,1,,,0,0.2979590790346265,3.2281670719385147,3.612500033341348,3.6128750070929527,4,1024
2026-07-05_local-smoke_v1,fqdn-c5-p1024-r1,1,fqdn,5,1024,1,,,0,0.2440840471535921,3.1379590509459376,3.4261250402778387,3.426208975724876,4,1024
2026-07-05_local-smoke_v1,fqdn-c5-p1024-r1,2,fqdn,5,1024,1,,,0,0.2526660682633519,3.059083013795316,3.3143750624731183,3.3146661007776856,4,1024
2026-07-05_local-smoke_v1,fqdn-c5-p1024-r1,3,fqdn,5,1024,1,,,0,0.24720898363739252,3.0689999694004655,3.3515000250190496,3.351542050950229,4,1024
2026-07-05_local-smoke_v1,fqdn-c5-p1024-r1,4,fqdn,5,1024,1,,,0,0.24679198395460844,2.9674170073121786,3.2501249806955457,3.2502079848200083,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,0,fqdn,20,1024,1,,,0,1.2591249542310834,4.91004204377532,5.669208941981196,5.6693339720368385,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,1,fqdn,20,1024,1,,,0,1.2151250848546624,4.561915993690491,5.306500010192394,5.306791048496962,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,2,fqdn,20,1024,1,,,0,1.186833018437028,4.788125050254166,5.6072500301525,5.607375060208142,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,3,fqdn,20,1024,1,,,0,1.158958999440074,4.510416998527944,5.151709076017141,5.151916993781924,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,4,fqdn,20,1024,1,,,0,1.1353748850524426,6.122958962805569,6.869208998978138,6.869333912618458,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,5,fqdn,20,1024,1,,,0,1.1064999271184206,4.452458000741899,5.113833001814783,5.113957915455103,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,6,fqdn,20,1024,1,,,0,1.0789589723572135,4.461916978470981,5.252209026366472,5.252416944131255,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,7,fqdn,20,1024,1,,,0,1.0535420151427388,5.461583030410111,6.309624994173646,6.309833028353751,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,8,fqdn,20,1024,1,,,0,1.0303750168532133,4.864874994382262,5.922292009927332,5.922416923567653,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,9,fqdn,20,1024,1,,,0,1.0050839046016335,5.864833947271109,6.621083943173289,6.6212499514222145,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,10,fqdn,20,1024,1,,,0,0.9792500641196966,4.76350006647408,5.847917054779828,5.848083994351327,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,11,fqdn,20,1024,1,,,0,0.9307919535785913,5.751124932430685,6.483374978415668,6.483541917987168,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,12,fqdn,20,1024,1,,,0,0.847041024826467,4.442165954969823,5.303957965224981,5.304040969349444,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,13,fqdn,20,1024,1,,,0,0.8166659390553832,5.450124968774617,6.301790941506624,6.302082911133766,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,14,fqdn,20,1024,1,,,0,0.7914580637589097,4.383082967251539,5.237500066868961,5.237624980509281,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,15,fqdn,20,1024,1,,,0,0.7677910616621375,5.254165967926383,6.116625037975609,6.116832955740392,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,16,fqdn,20,1024,1,,,0,0.7409170502796769,5.685208016075194,6.449042004533112,6.449167034588754,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,17,fqdn,20,1024,1,,,0,0.7178329396992922,5.742540932260454,6.47745793685317,6.477624992839992,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,18,fqdn,20,1024,1,,,0,0.6901670712977648,5.59454201720655,6.349250092171133,6.349375005811453,4,1024
2026-07-05_local-smoke_v1,fqdn-c20-p1024-r1,19,fqdn,20,1024,1,,,0,0.6876250263303518,5.013665999285877,5.8998329332098365,5.899999989196658,4,1024
2026-07-05_local-smoke_v1,fqdn-c5-p8192-r1,0,fqdn,5,8192,1,,,0,0.31658296938985586,1.872875029221177,2.2273330250754952,2.227416029199958,4,8192
2026-07-05_local-smoke_v1,fqdn-c5-p8192-r1,1,fqdn,5,8192,1,,,0,0.27799990493804216,1.7516670050099492,2.104207989759743,2.1044579334557056,4,8192
2026-07-05_local-smoke_v1,fqdn-c5-p8192-r1,2,fqdn,5,8192,1,,,0,0.3357080277055502,1.8768750596791506,2.1792500047013164,2.1795000648126006,4,8192
2026-07-05_local-smoke_v1,fqdn-c5-p8192-r1,3,fqdn,5,8192,1,,,0,0.3664999967440963,1.5735420165583491,2.028082963079214,2.0281249890103936,4,8192
2026-07-05_local-smoke_v1,fqdn-c5-p8192-r1,4,fqdn,5,8192,1,,,0,0.36275002639740705,1.7119590193033218,2.128500025719404,2.1286250557750463,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,0,fqdn,20,8192,1,,,0,0.9805829031392932,3.6901659332215786,3.944500000216067,3.9447079179808497,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,1,fqdn,20,8192,1,,,0,0.9379170369356871,5.176625098101795,5.701958085410297,5.702125024981797,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,2,fqdn,20,8192,1,,,0,0.887958100065589,3.5920829977840185,3.8424580125138164,3.842625068500638,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,3,fqdn,20,8192,1,,,0,0.863624969497323,5.274374969303608,6.01095799356699,6.011000019498169,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,4,fqdn,20,8192,1,,,0,0.834333011880517,2.5945421075448394,2.7979580918326974,2.7980830054730177,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,5,fqdn,20,8192,1,,,0,0.8078330429270864,5.027458071708679,5.5994580034166574,5.599667085334659,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,6,fqdn,20,8192,1,,,0,0.7802500622346997,5.477125057950616,6.1627080431208014,6.162874982692301,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,7,fqdn,20,8192,1,,,0,0.7563340477645397,3.680375055409968,3.8812090642750263,3.8815420120954514,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,8,fqdn,20,8192,1,,,0,0.7347079226747155,4.694249946624041,5.314207985065877,5.314499954693019,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,9,fqdn,20,8192,1,,,0,0.7134160259738564,5.011457949876785,5.6624580174684525,5.662624957039952,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,10,fqdn,20,8192,1,,,0,0.6885830080136657,4.9055420095101,5.512041971087456,5.512207979336381,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,11,fqdn,20,8192,1,,,0,0.6653749151155353,5.261000012978911,5.972958984784782,5.973084014840424,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,12,fqdn,20,8192,1,,,0,0.7769999792799354,5.152166937477887,5.8895000256598,5.889541935175657,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,13,fqdn,20,8192,1,,,0,0.7546250708401203,4.987750086002052,5.729000084102154,5.729084019549191,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,14,fqdn,20,8192,1,,,0,0.7266249740496278,5.194874946027994,5.889541003853083,5.889665917493403,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,15,fqdn,20,8192,1,,,0,0.7044579833745956,3.706792020238936,4.203750053420663,4.203958087600768,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,16,fqdn,20,8192,1,,,0,0.6814169464632869,4.806499928236008,5.488749942742288,5.48904191236943,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,17,fqdn,20,8192,1,,,0,0.6585830124095082,4.95750003028661,5.72204205673188,5.722250090911984,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,18,fqdn,20,8192,1,,,0,0.6379999686032534,4.758708062581718,5.484541994519532,5.484667024575174,4,8192
2026-07-05_local-smoke_v1,fqdn-c20-p8192-r1,19,fqdn,20,8192,1,,,0,0.6132090929895639,4.7525420086458325,5.478250095620751,5.478334031067789,4,8192
